Car_ID,Brand,Model_Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Engine_CC,Max_Power_bhp,Mileage_kmpl,Seats,Price_USD,Vehicle_Age,Price_Per_Year,Mileage_Category,Price_Category,Power_Per_CC,Efficiency_to_Power,Usage_Intensity,Depreciation_Rate,Engine_Size_Category,Power_Rating,Fuel_Type_Category,Is_Automatic,Owner_History_Numeric,Price_Per_Seat
21,Mercedes,2005,121492,Diesel,Automatic,Third,2420,549.3,22.12,7,67824.83,20,3229.7538095238097,High,Mid-range,226.98347107438016,0.04026210411357845,5785.333333333333,0.16197369055417382,Medium,Very High,Traditional,1,2,8478.10375
22,Toyota,2018,77240,Hybrid,Automatic,First,3750,358.6,10.3,6,111907.45,7,13988.43125,Medium,Luxury,95.62666666666668,0.028714803456927795,9655.0,0.02243083520502697,Large,High,Eco-Friendly,1,0,15986.778571428571
23,Volkswagen,2009,69315,Petrol,Manual,Third,4592,466.8,10.97,4,3625.83,16,213.28411764705882,Medium,Budget,101.65505226480838,0.023495395159563077,4077.3529411764707,2.0593190196397404,Large,Very High,Traditional,0,2,725.1659999999999
24,Hyundai,2018,15756,Electric,Automatic,First,3741,494.6,12.03,5,90543.94,7,11317.9925,Low,Premium,132.2106388666132,0.02431776834445118,1969.5,0.038237365887039076,Large,Very High,Eco-Friendly,1,0,15090.656666666668
25,Nissan,2008,41378,Diesel,Automatic,Third,1777,231.4,15.28,5,108656.93,17,6036.496111111111,Low,Luxury,130.21947101857063,0.06600431965442764,2298.777777777778,0.03620352421585797,Small,Medium,Traditional,1,2,18109.48833333333
26,Toyota,2005,140327,Hybrid,Manual,Third,3866,282.9,10.86,2,19347.31,20,921.3004761904763,High,Budget,73.17640972581479,0.038374558303886926,6682.238095238095,0.29242864105443833,Large,Medium,Eco-Friendly,0,2,6449.1033333333335
27,Volkswagen,2023,150556,Petrol,Automatic,First,1583,515.1,5.49,7,14246.72,2,4748.906666666667,High,Budget,325.3948199620973,0.010656055900621117,50185.333333333336,0.07230630585104143,Small,Very High,Traditional,1,0,1780.84
28,Ford,2012,130703,Petrol,Manual,First,1040,243.4,26.98,7,52675.0,13,3762.5,High,Mid-range,234.03846153846155,0.11080082135523614,9335.92857142857,0.06006910167818362,Small,Medium,Traditional,0,0,6584.375
29,Audi,2019,61549,Electric,Automatic,Third,2353,484.6,29.14,4,112240.43,6,16034.347142857141,Medium,Luxury,205.94985125371866,0.0601196616463792,8792.714285714286,0.025904873093651786,Medium,Very High,Eco-Friendly,1,2,22448.086
30,BMW,2019,170575,Hybrid,Manual,Second,1812,567.0,13.54,6,66459.23,6,9494.175714285713,Very High,Mid-range,312.9139072847682,0.023875859636748365,24367.85714285714,0.0511885077737468,Small,Very High,Eco-Friendly,0,1,9494.175714285713
31,Nissan,2013,78794,Electric,Automatic,First,986,389.0,13.46,7,64712.41,12,4977.877692307693,Medium,Mid-range,394.5233265720081,0.03459264970444616,6061.076923076923,0.07213342644128937,Small,High,Eco-Friendly,1,0,8089.05125
32,Ford,2013,50113,Electric,Manual,Second,2681,455.3,5.18,4,19511.76,12,1500.9046153846152,Low,Budget,169.82469227900037,0.011374615722441807,3854.846153846154,0.2800013939596449,Medium,High,Eco-Friendly,0,1,3902.352
33,Mercedes,2014,79069,Hybrid,Automatic,First,1230,490.9,22.01,4,3092.37,11,257.6975,Medium,Budget,399.10569105691053,0.044826883910386965,6589.083333333333,1.7456366357726363,Small,Very High,Eco-Friendly,1,0,618.4739999999999
34,Ford,2024,141321,Hybrid,Manual,First,1038,513.2,25.64,7,97786.39,1,48893.195,High,Premium,494.41233140655106,0.049951295538671336,70660.5,0.005248120437614707,Small,Very High,Eco-Friendly,0,0,12223.29875
35,Audi,2013,155273,Hybrid,Automatic,First,3145,261.2,8.67,4,13246.22,12,1018.9399999999999,Very High,Budget,83.05246422893481,0.03318025258323765,11944.076923076924,0.23660813363105615,Medium,Medium,Eco-Friendly,1,0,2649.2439999999997
36,Mercedes,2007,130541,Diesel,Automatic,First,875,68.7,8.99,2,77160.43,18,4061.0752631578944,High,Premium,78.51428571428572,0.1306686046511628,6870.578947368421,0.016026141558029706,Small,Low,Traditional,1,0,25720.14333333333
37,Nissan,2024,194648,Hybrid,Automatic,Second,2156,265.1,24.75,2,110010.13,1,55005.065,Very High,Luxury,122.9591836734694,0.09332579185520361,97324.0,0.002409756176488688,Medium,Medium,Eco-Friendly,1,1,36670.043333333335
38,Audi,2015,14686,Petrol,Automatic,First,3130,417.3,20.41,7,27412.27,10,2492.0245454545457,Low,Budget,133.3226837060703,0.04889793962625778,1335.090909090909,0.15222554624092638,Medium,High,Traditional,1,0,3426.53375
39,Honda,2010,58363,Electric,Automatic,Third,2702,292.2,6.12,6,80836.92,15,5052.3075,Medium,Premium,108.1421169504071,0.020937393089291823,3647.6875,0.05421960386907531,Medium,Medium,Eco-Friendly,1,2,11548.131428571429
40,BMW,2006,102543,Diesel,Automatic,Third,4813,459.4,20.56,2,12207.73,19,610.3865,High,Budget,95.44982339497196,0.0447442872687704,5127.15,0.7149474187732877,Large,Very High,Traditional,1,2,4069.2433333333333
41,Nissan,2011,136733,Hybrid,Automatic,Second,2859,239.9,12.72,2,73639.35,14,4909.29,High,Mid-range,83.9104582021686,0.053000000000000005,9115.533333333333,0.04560814825024596,Medium,Medium,Eco-Friendly,1,1,24546.45
42,Honda,2022,180915,Diesel,Automatic,First,940,395.5,14.22,7,22180.01,3,5545.0025,Very High,Budget,420.74468085106383,0.03594539939332659,45228.75,0.05349170303786888,Small,High,Traditional,1,0,2772.50125
43,Volkswagen,2006,100673,Hybrid,Automatic,Third,2589,144.4,24.24,5,89106.57,19,4455.3285000000005,Medium,Premium,55.774430281962154,0.1677508650519031,5033.65,0.03078975220623792,Medium,Low,Eco-Friendly,1,2,14851.095000000001
44,Nissan,2021,197035,Diesel,Manual,Second,4426,459.6,25.27,4,38244.06,4,7648.812,Very High,Budget,103.84093990058744,0.05497063302153578,39407.0,0.04806895321905627,Large,Very High,Traditional,0,1,7648.812
45,Volkswagen,2015,47828,Electric,Manual,First,816,345.6,15.01,2,57216.75,10,5201.522727272727,Low,Mid-range,423.5294117647059,0.04341914955163436,4348.0,0.0604008371528066,Small,High,Eco-Friendly,0,0,19072.25
46,Mercedes,2016,53604,Electric,Automatic,Third,1264,154.3,28.68,5,73133.37,9,7313.3369999999995,Medium,Mid-range,122.07278481012659,0.18575129533678755,5360.4,0.01898833612704943,Small,Low,Eco-Friendly,1,2,12188.894999999999
47,Honda,2023,15526,Petrol,Manual,Third,2627,203.5,15.16,6,23038.99,2,7679.663333333334,Low,Budget,77.46478873239437,0.07445972495088408,5175.333333333333,0.017664938222629437,Medium,Medium,Traditional,0,2,3291.284285714286
48,BMW,2011,73910,Petrol,Automatic,Second,3828,459.2,24.3,5,89771.62,14,5984.774666666666,Medium,Premium,119.95820271682341,0.052906596995427824,4927.333333333333,0.07161203493893796,Large,Very High,Traditional,1,1,14961.936666666666
49,Audi,2024,30592,Hybrid,Automatic,First,1319,310.3,17.1,7,38408.92,1,19204.46,Low,Budget,235.25398028809707,0.05509020618556701,15296.0,0.00807864218410244,Small,Medium,Eco-Friendly,1,0,4801.115
50,Kia,2010,33982,Electric,Manual,First,889,161.0,27.44,6,80497.51,15,5031.094375,Low,Premium,181.10236220472441,0.1703289882060832,2123.875,0.03000055528978114,Small,Low,Eco-Friendly,0,0,11499.644285714285
51,Ford,2005,5207,Diesel,Automatic,Third,3651,581.7,27.69,6,21519.12,20,1024.72,Low,Budget,159.32621199671325,0.04759367480233757,247.95238095238096,0.5406103683436709,Large,Very High,Traditional,1,2,3074.16
52,Toyota,2021,93733,Diesel,Automatic,Third,3643,440.5,7.19,5,83509.77,4,16701.954,Medium,Premium,120.91682679110623,0.01631865637766682,18746.6,0.021099075005535213,Large,High,Traditional,1,2,13918.295
53,BMW,2015,129982,Diesel,Manual,Third,2684,576.0,28.41,7,17998.0,10,1636.1818181818182,High,Budget,214.60506706408344,0.049314355146675926,11816.545454545454,0.320017778765487,Medium,Very High,Traditional,0,2,2249.75
54,Honda,2022,73619,Petrol,Manual,First,4971,279.2,25.64,2,52766.71,3,13191.6775,Medium,Mid-range,56.16576141621404,0.09180093089867526,18404.75,0.015873343755110843,Large,Medium,Traditional,0,0,17588.903333333332
55,Kia,2021,165400,Diesel,Automatic,Second,1725,306.1,24.78,5,31923.11,4,6384.622,Very High,Budget,177.44927536231884,0.08092749836708032,33080.0,0.0383534576218413,Small,Medium,Traditional,1,1,5320.518333333333
56,BMW,2011,51479,Petrol,Manual,Second,4534,542.9,10.02,2,90559.9,14,6037.326666666666,Low,Premium,119.73974415527128,0.018453038674033147,3431.9333333333334,0.08392805283516395,Large,Very High,Traditional,0,1,30186.63333333333
57,Honda,2021,156175,Petrol,Manual,First,1769,334.0,25.13,5,33658.1,4,6731.62,Very High,Budget,188.8072357263991,0.07521700089793475,31235.0,0.039692089212129855,Small,High,Traditional,0,0,5609.683333333333
58,Hyundai,2024,175963,Hybrid,Automatic,Second,1894,436.1,26.25,2,106160.92,1,53080.46,Very High,Premium,230.25343189017954,0.06017881705639614,87981.5,0.004107875969085714,Small,High,Eco-Friendly,1,1,35386.973333333335
59,Hyundai,2013,146826,Diesel,Manual,Third,3995,181.2,12.23,5,107342.96,12,8257.15076923077,High,Luxury,45.356695869837296,0.06745725317153889,11294.307692307691,0.020256379585772682,Large,Low,Traditional,0,2,17890.493333333336
60,Volkswagen,2021,86437,Diesel,Manual,Second,2204,290.2,28.81,6,25983.63,4,5196.726000000001,Medium,Budget,131.66969147005443,0.09924216327936616,17287.4,0.044672562203117765,Medium,Medium,Traditional,0,1,3711.947142857143
61,BMW,2024,103540,Electric,Automatic,Second,4164,109.1,6.25,4,74819.98,1,37409.99,High,Mid-range,26.200768491834776,0.05723443223443224,51770.0,0.0014581471667438732,Large,Low,Eco-Friendly,1,1,14963.996
62,Hyundai,2012,77982,Hybrid,Manual,Second,4782,155.3,8.75,6,13262.96,13,947.3542857142857,Medium,Budget,32.47595148473442,0.05630630630630631,5570.142857142857,0.1522094457462176,Large,Low,Eco-Friendly,0,1,1894.7085714285713
63,Honda,2021,107747,Electric,Manual,Third,4813,40.5,18.44,2,48809.84,4,9761.967999999999,High,Mid-range,8.414710159983379,0.4541871921182266,21549.4,0.003318934892331294,Large,Low,Eco-Friendly,0,2,16269.946666666665
64,Volkswagen,2011,191994,Hybrid,Automatic,First,3892,62.0,19.39,7,86458.64,14,5763.909333333333,Very High,Premium,15.93011305241521,0.31223832528180356,12799.6,0.010039366344805506,Large,Low,Eco-Friendly,1,0,10807.33
65,Honda,2005,53231,Diesel,Automatic,Third,4959,587.3,21.13,6,80152.52,20,3816.786666666667,Medium,Premium,118.4311353095382,0.03597208035410283,2534.809523809524,0.14654378248141814,Large,Very High,Traditional,1,2,11450.36
66,Volkswagen,2017,34301,Petrol,Automatic,First,2874,175.7,5.42,4,76089.98,8,8454.442222222222,Low,Mid-range,61.134307585247036,0.03083048919226394,3811.222222222222,0.018472623167686893,Medium,Low,Traditional,1,0,15217.996
67,BMW,2023,198783,Petrol,Manual,First,1084,411.5,29.01,2,36057.28,2,12019.093333333332,Very High,Budget,379.6125461254612,0.07048104956268221,66261.0,0.022824161329935873,Small,High,Traditional,0,0,12019.093333333332
68,Kia,2023,177395,Petrol,Automatic,First,1987,509.9,6.11,6,47228.92,2,15742.973333333333,Very High,Mid-range,256.6180171112229,0.011980392156862746,59131.666666666664,0.021592244915934644,Small,Very High,Traditional,1,0,6746.988571428571
69,Audi,2021,23752,Petrol,Automatic,Second,4769,348.4,8.58,5,15044.7,4,3008.94,Low,Budget,73.05514782973368,0.024619799139167863,4750.4,0.09262447077902655,Large,High,Traditional,1,1,2507.4500000000003
70,Nissan,2017,103452,Petrol,Manual,Second,3765,125.8,5.35,7,87125.67,8,9680.63,High,Premium,33.41301460823373,0.04249404289118348,11494.666666666666,0.011550998104254416,Large,Low,Traditional,0,1,10890.70875
71,Kia,2020,149467,Electric,Automatic,First,1583,447.7,19.17,2,61954.99,5,10325.831666666667,High,Mid-range,282.8174352495262,0.042809289861545335,24911.166666666668,0.03613048552690386,Small,High,Eco-Friendly,1,0,20651.663333333334
72,Mercedes,2012,126237,Hybrid,Automatic,First,1749,376.1,28.31,6,85925.58,13,6137.541428571429,High,Premium,215.03716409376787,0.07525252525252524,9016.92857142857,0.05690090307329816,Small,High,Eco-Friendly,1,0,12275.082857142857
73,Honda,2023,61273,Diesel,Automatic,Second,4739,449.5,21.65,2,32126.39,2,10708.796666666667,Medium,Budget,94.85123443764508,0.048153914590747325,20424.333333333332,0.02798235399763255,Large,High,Traditional,1,1,10708.796666666667
74,Mercedes,2022,96878,Electric,Automatic,Third,844,471.1,25.57,5,40959.27,3,10239.8175,Medium,Mid-range,558.175355450237,0.054265704584040744,24219.5,0.03450416708678923,Small,Very High,Eco-Friendly,1,2,6826.544999999999
75,Kia,2005,9895,Hybrid,Manual,First,2610,586.2,5.33,4,42103.19,20,2004.9138095238097,Low,Mid-range,224.59770114942532,0.00909090909090909,471.1904761904762,0.2784520970478235,Medium,Very High,Eco-Friendly,0,0,8420.638
76,Volkswagen,2018,124968,Petrol,Automatic,Third,2881,361.2,18.55,6,6011.86,7,751.4825,High,Budget,125.37313432835822,0.051342374757818984,15621.0,0.42049873105310953,Medium,High,Traditional,1,2,858.8371428571428
77,Nissan,2023,120700,Hybrid,Automatic,Second,4298,231.3,16.49,2,42902.6,2,14300.866666666667,High,Mid-range,53.815728245695674,0.0712618841832325,40233.333333333336,0.01078231197382038,Large,Medium,Eco-Friendly,1,1,14300.866666666667
78,Nissan,2019,81559,Hybrid,Manual,First,1629,403.1,17.47,2,96986.64,6,13855.234285714285,Medium,Premium,247.45242480049112,0.04332837301587301,11651.285714285714,0.02493719818319118,Small,High,Eco-Friendly,0,0,32328.88
79,Toyota,2022,15699,Petrol,Automatic,Third,2709,78.3,6.81,2,107983.92,3,26995.98,Low,Luxury,28.90365448504983,0.08686224489795918,3924.75,0.002175303736855109,Medium,Low,Traditional,1,2,35994.64
80,Nissan,2006,14715,Petrol,Manual,Third,3381,542.5,22.11,4,63631.54,19,3181.577,Low,Mid-range,160.45548654244308,0.040748249170659785,735.75,0.16198473296838378,Medium,Very High,Traditional,0,2,12726.308
81,Audi,2021,24169,Petrol,Manual,Third,1491,106.9,17.58,2,56293.7,4,11258.74,Low,Mid-range,71.69684775318578,0.16429906542056072,4833.8,0.0075957416950441165,Small,Low,Traditional,0,2,18764.566666666666
82,Nissan,2022,123413,Diesel,Manual,Second,4819,223.6,24.13,7,6606.48,3,1651.62,High,Budget,46.3996679809089,0.10786767992847564,30853.25,0.10152130615605344,Large,Medium,Traditional,0,1,825.81
83,Kia,2010,152235,Petrol,Automatic,Second,1731,496.8,17.13,7,105866.91,15,6616.681875,High,Premium,287.001733102253,0.03447373717045683,9514.6875,0.0703896015327024,Small,Very High,Traditional,1,1,13233.36375
84,Toyota,2023,124264,Diesel,Manual,Third,4206,374.5,8.73,2,4522.19,2,1507.3966666666665,High,Budget,89.03946742748454,0.023304858515750135,41421.333333333336,0.16559109831778016,Large,High,Traditional,0,2,1507.3966666666665
85,Kia,2008,10782,Petrol,Manual,Third,947,260.4,21.21,7,113535.76,17,6307.542222222222,Low,Luxury,274.97360084477293,0.08142034548944338,599.0,0.03899001521621719,Small,Medium,Traditional,0,2,14191.97
86,Kia,2005,129481,Diesel,Manual,Second,1832,305.1,9.31,6,60238.3,20,2868.4904761904763,High,Mid-range,166.53930131004367,0.0305045871559633,6165.761904761905,0.1012959977954591,Small,Medium,Traditional,0,1,8605.471428571429
87,Ford,2012,40585,Hybrid,Automatic,Third,2111,518.5,26.81,7,43006.34,13,3071.8814285714284,Low,Mid-range,245.6181904310753,0.051696876205167754,2898.9285714285716,0.15672906066731865,Medium,Very High,Eco-Friendly,1,2,5375.7925
88,Toyota,2011,35682,Electric,Automatic,Third,1187,230.4,20.33,2,111133.56,14,7408.9039999999995,Low,Luxury,194.1027801179444,0.0881995661605206,2378.8,0.02902427471706371,Small,Medium,Eco-Friendly,1,2,37044.52
89,Kia,2007,183936,Hybrid,Automatic,Second,3921,527.0,8.93,5,5853.75,18,308.0921052631579,Very High,Budget,134.40448865085438,0.01694175678239423,9680.842105263158,1.6202228959391947,Large,Very High,Eco-Friendly,1,1,975.625
90,Ford,2014,134992,Hybrid,Automatic,Third,2673,89.4,29.06,6,71026.71,11,5918.892500000001,High,Mid-range,33.445566778900115,0.3246927374301676,11249.333333333334,0.013845300658010797,Medium,Low,Eco-Friendly,1,2,10146.672857142858
91,Ford,2014,89416,Petrol,Automatic,Third,4388,475.0,17.96,4,67225.11,11,5602.0925,Medium,Mid-range,108.24977210574293,0.037802567880446225,7451.333333333333,0.07772277765290897,Large,Very High,Traditional,1,2,13445.022
92,Toyota,2023,191186,Diesel,Automatic,Third,1715,514.6,6.82,2,28660.49,2,9553.496666666668,Very High,Budget,300.05830903790087,0.013250437147853117,63728.666666666664,0.03590881004441849,Small,Very High,Traditional,1,2,9553.496666666668
93,Mercedes,2018,132810,Electric,Automatic,Second,2678,141.8,20.67,4,53179.83,7,6647.47875,High,Mid-range,52.94996265870053,0.14566596194503173,16601.25,0.0186646203152527,Medium,Low,Eco-Friendly,1,1,10635.966
94,Volkswagen,2006,43067,Petrol,Manual,Third,4548,281.0,11.33,5,79314.89,19,3965.7445,Low,Premium,61.78540017590149,0.04030594094628246,2153.35,0.06731311972922449,Large,Medium,Traditional,0,2,13219.148333333333
95,Audi,2005,178757,Petrol,Manual,Second,1077,132.7,25.09,4,88074.35,20,4194.016666666667,Very High,Premium,123.21262766945217,0.1889307228915663,8512.238095238095,0.030133289280144783,Small,Low,Traditional,0,1,17614.870000000003
96,Volkswagen,2022,23073,Petrol,Manual,Second,2777,435.7,25.45,2,3083.87,3,770.9675,Low,Budget,156.89593086064096,0.05839834786599357,5768.25,0.42371315484931293,Medium,High,Traditional,0,1,1027.9566666666667
97,Nissan,2011,41035,Hybrid,Manual,First,2659,339.8,29.47,2,112611.85,14,7507.456666666667,Low,Luxury,127.79240315908237,0.08670197116799057,2735.6666666666665,0.042243846949970625,Medium,High,Eco-Friendly,0,0,37537.28333333333
98,Audi,2012,95373,Diesel,Automatic,First,3836,395.8,17.55,5,22249.47,13,1589.2478571428571,Medium,Budget,103.18039624608969,0.04432937610507704,6812.357142857143,0.23124904777292346,Large,High,Traditional,1,0,3708.2450000000003
99,Nissan,2005,88362,Diesel,Manual,Third,4171,150.0,16.37,2,30328.91,20,1444.2338095238094,Medium,Budget,35.96259889714697,0.10906062624916724,4207.714285714285,0.09891226185636555,Large,Low,Traditional,0,2,10109.636666666667
100,Kia,2007,95517,Electric,Manual,Second,2982,158.6,23.84,5,33826.39,18,1780.3363157894737,Medium,Budget,53.18578135479543,0.15022054190296158,5027.210526315789,0.08439315004793452,Medium,Low,Eco-Friendly,0,1,5637.731666666667
101,Honda,2012,70450,Diesel,Manual,First,1970,63.2,8.31,5,7424.96,13,530.3542857142858,Medium,Budget,32.08121827411168,0.13127962085308056,5032.142857142857,0.11063889382652209,Small,Low,Traditional,0,0,1237.4933333333333
102,Toyota,2019,15382,Diesel,Manual,Third,1289,220.4,18.67,2,17397.1,6,2485.2999999999997,Low,Budget,170.9852598913887,0.08467120181405896,2197.4285714285716,0.07600829975687001,Small,Medium,Traditional,0,2,5799.033333333333
103,Audi,2009,140509,Petrol,Automatic,First,3325,353.5,18.66,7,118402.94,16,6964.878823529412,High,Luxury,106.3157894736842,0.05277149321266968,8265.235294117647,0.04776868067059255,Medium,High,Traditional,1,0,14800.3675
104,Audi,2007,66929,Petrol,Automatic,First,1982,520.4,7.24,5,39880.36,18,2098.966315789474,Medium,Mid-range,262.5630676084763,0.013909702209414026,3522.5789473684213,0.2348766441264791,Small,Very High,Traditional,1,0,6646.7266666666665
105,Kia,2023,103864,Hybrid,Automatic,Second,3288,413.5,15.45,2,16490.23,2,5496.743333333333,High,Budget,125.76034063260342,0.037354932301740806,34621.333333333336,0.050147866472058183,Medium,High,Eco-Friendly,1,1,5496.743333333333
106,Mercedes,2005,148401,Petrol,Manual,Second,2676,283.8,26.33,7,15517.98,20,738.9514285714286,High,Budget,106.05381165919282,0.09274392391687213,7066.714285714285,0.36574568689437065,Medium,Medium,Traditional,0,1,1939.7475
107,Ford,2019,30169,Petrol,Automatic,First,3262,573.7,26.4,5,87176.82,6,12453.83142857143,Low,Premium,175.87369711833233,0.04600906239107702,4309.857142857143,0.03948481391252959,Medium,Very High,Traditional,1,0,14529.470000000001
108,Kia,2012,92468,Petrol,Manual,First,2430,442.8,7.48,7,102984.53,13,7356.037857142857,Medium,Premium,182.22222222222223,0.016888688191465343,6604.857142857143,0.05589523110673898,Medium,High,Traditional,0,0,12873.06625
109,Hyundai,2006,39594,Petrol,Automatic,Second,1087,560.9,7.27,6,33063.42,19,1653.1709999999998,Low,Budget,516.0073597056117,0.012959001782531194,1979.7,0.32231322974968263,Small,Very High,Traditional,1,1,4723.345714285714
110,Ford,2007,196703,Hybrid,Automatic,Third,2707,335.4,11.57,6,5446.41,18,286.6531578947368,Very High,Budget,123.90099741411156,0.034485842026825635,10352.78947368421,1.1082698016121424,Medium,High,Eco-Friendly,1,2,778.0585714285714
111,Toyota,2018,50033,Petrol,Automatic,Second,1961,185.0,26.87,7,29101.53,7,3637.69125,Low,Budget,94.33962264150944,0.14516477579686657,6254.125,0.044497849499682676,Small,Medium,Traditional,1,1,3637.69125
112,Ford,2018,68133,Electric,Automatic,First,929,69.6,8.22,5,9612.34,7,1201.5425,Medium,Budget,74.91926803013993,0.11793400286944049,8516.625,0.050679576505148045,Small,Low,Eco-Friendly,1,0,1602.0566666666666
113,Mercedes,2015,78861,Electric,Automatic,Third,3163,446.6,23.0,2,15097.21,10,1372.4736363636364,Medium,Budget,141.19506797344295,0.0514886948735169,7169.181818181818,0.29579665404044586,Medium,High,Eco-Friendly,1,2,5032.403333333333
114,Ford,2020,188362,Electric,Manual,First,943,107.9,7.53,4,53486.45,5,8914.408333333333,Very High,Mid-range,114.42205726405092,0.06972222222222223,31393.666666666668,0.01008647822993992,Small,Low,Eco-Friendly,0,0,10697.289999999999
115,Toyota,2008,36750,Electric,Automatic,Third,815,209.6,20.58,2,29900.45,17,1661.1361111111112,Low,Budget,257.17791411042947,0.09814020028612302,2041.6666666666667,0.1191647896673907,Small,Medium,Eco-Friendly,1,2,9966.816666666668
